"oldUrl","newUrl","httpStatus","reason","verification"
"/en-za/products/industry-application-equipment/","/en-za/products/","308","Retired category landing page","configured in next.config.mjs; production verification pending deployment"
"/en-za/products/industry-application-equipment/high-frequency-screen/","/en-za/products/magnetic-separation-equipment/high-frequency-screen/","308","Product classification route normalization","configured in next.config.mjs; production verification pending deployment"
"/en-za/products/industry-application-equipment/kgla-series-rectifier-control-box/","/en-za/products/suspended-and-self-unloading-iron-removers/kgla-series-rectifier-control-box/","308","Product classification route normalization","configured in next.config.mjs; production verification pending deployment"
"/en-za/products/industry-application-equipment/kxb-mining-explosion-proof-electromagnetic-iron-remover-control-box/","/en-za/products/suspended-and-self-unloading-iron-removers/kxb-mining-explosion-proof-electromagnetic-iron-remover-control-box/","308","Product classification route normalization","configured in next.config.mjs; production verification pending deployment"
"/en-za/products/industry-application-equipment/qjz-mining-explosion-proof-permanent-magnet-iron-remover-control-box/","/en-za/products/suspended-and-self-unloading-iron-removers/qjz-mining-explosion-proof-permanent-magnet-iron-remover-control-box/","308","Product classification route normalization","configured in next.config.mjs; production verification pending deployment"
"/en-za/products/industry-application-equipment/rbcdb-explosion-proof-disc-type-electromagnetic-iron-remover/","/en-za/products/suspended-and-self-unloading-iron-removers/rbcdb-explosion-proof-disc-type-electromagnetic-iron-remover/","308","Product classification route normalization","configured in next.config.mjs; production verification pending deployment"
"/en-za/products/industry-application-equipment/rbcdd-explosion-proof-electromagnetic-self-dumping-iron-remover/","/en-za/products/suspended-and-self-unloading-iron-removers/rbcdd-explosion-proof-electromagnetic-self-dumping-iron-remover/","308","Product classification route normalization","configured in next.config.mjs; production verification pending deployment"
"/en-za/products/industry-application-equipment/rbcyd-explosion-proof-permanent-magnet-self-dumping-iron-remover/","/en-za/products/suspended-and-self-unloading-iron-removers/rbcyd-explosion-proof-permanent-magnet-self-dumping-iron-remover/","308","Product classification route normalization","configured in next.config.mjs; production verification pending deployment"
"/en-za/products/industry-application-equipment/round-electromagnetic-lifting-magnet/","/en-za/products/magnetic-separation-equipment/round-electromagnetic-lifting-magnet/","308","Product classification route normalization","configured in next.config.mjs; production verification pending deployment"
"/en-za/products/magnetic-components-and-filters/ctq-type-roller-automatic-magnetic-separator/","/en-za/products/magnetic-separation-equipment/ctq-type-roller-automatic-magnetic-separator/","308","Product classification route normalization","configured in next.config.mjs; production verification pending deployment"
"/en-za/products/magnetic-components-and-filters/dhd-type-roller-type-automatic-magnetic-separator/","/en-za/products/magnetic-separation-equipment/dhd-type-roller-type-automatic-magnetic-separator/","308","Product classification route normalization","configured in next.config.mjs; production verification pending deployment"
"/en-za/products/magnetic-components-and-filters/dhj-type-strong-roller-automatic-magnetic-separator/","/en-za/products/magnetic-separation-equipment/dhj-type-strong-roller-automatic-magnetic-separator/","308","Product classification route normalization","configured in next.config.mjs; production verification pending deployment"
"/en-za/products/magnetic-components-and-filters/qcg-wet-roller-magnetic-separator/","/en-za/products/magnetic-separation-equipment/qcg-wet-roller-magnetic-separator/","308","Product classification route normalization","configured in next.config.mjs; production verification pending deployment"
