"url","slug","publicPageFound","pageLeakHits","productDataLeakHits","status"
"/en-za/products/magnetic-separation-equipment/rcyp-type-permanent-magnet-manual-self-dumping-iron-remover/","rcyp-type-permanent-magnet-manual-self-dumping-iron-remover","yes","none","none","pass"
"/en-za/products/magnetic-separation-equipment/rcyz-type-vertical-pipeline-permanent-magnet-iron-remover/","rcyz-type-vertical-pipeline-permanent-magnet-iron-remover","yes","none","none","pass"
"/en-za/products/magnetic-separation-equipment/cqz-type-fully-automatic-online-magnetic-separation/","cqz-type-fully-automatic-online-magnetic-separation","yes","none","none","pass"
"/en-za/products/magnetic-separation-equipment/ctb-wet-semi-countercurrent-magnetic-separator/","ctb-wet-semi-countercurrent-magnetic-separator","yes","none","none","pass"
"/en-za/products/magnetic-separation-equipment/dcx-wet-fully-automatic-magnetic-separator/","dcx-wet-fully-automatic-magnetic-separator","yes","none","none","pass"
"/en-za/products/magnetic-separation-equipment/gtc-wet-plate-magnetic-separator/","gtc-wet-plate-magnetic-separator","yes","none","none","pass"
"/en-za/products/magnetic-separation-equipment/hjlh-wet-vertical-ring-high-gradient-magnetic-separator/","hjlh-wet-vertical-ring-high-gradient-magnetic-separator","yes","none","none","pass"
"/en-za/products/magnetic-separation-equipment/hjpc-wet-disc-magnetic-separation/","hjpc-wet-disc-magnetic-separation","yes","none","none","pass"
"/en-za/products/magnetic-separation-equipment/clt-type-magnetic-desliming-tank/","clt-type-magnetic-desliming-tank","yes","none","none","pass"
"/en-za/products/magnetic-separation-equipment/ctb-type-semi-countercurrent-wet-selection-machine/","ctb-type-semi-countercurrent-wet-selection-machine","yes","none","none","pass"
"/en-za/products/magnetic-separation-equipment/ctdg-type-permanent-magnet-bulk-dry-magnetic-separator/","ctdg-type-permanent-magnet-bulk-dry-magnetic-separator","yes","none","none","pass"
"/en-za/products/magnetic-separation-equipment/ctn-type-full-countercurrent-wet-magnetic-separator/","ctn-type-full-countercurrent-wet-magnetic-separator","yes","none","none","pass"
"/en-za/products/magnetic-separation-equipment/cts-type-downstream-wet-pre-selection-machine/","cts-type-downstream-wet-pre-selection-machine","yes","none","none","pass"
"/en-za/products/magnetic-separation-equipment/ctzs-type-upward-suction-magnetic-separator/","ctzs-type-upward-suction-magnetic-separator","yes","none","none","pass"
"/en-za/products/magnetic-separation-equipment/hcg-type-dry-pre-selection-machine/","hcg-type-dry-pre-selection-machine","yes","none","none","pass"
"/en-za/products/magnetic-separation-equipment/hjlh-type-vertical-ring-high-gradient-magnetic-separation/","hjlh-type-vertical-ring-high-gradient-magnetic-separation","yes","none","none","pass"
"/en-za/products/magnetic-separation-equipment/ljk-type-magnetic-ore-special-iron-remover/","ljk-type-magnetic-ore-special-iron-remover","yes","none","none","pass"
"/en-za/products/magnetic-separation-equipment/nct-type-concentrated-magnetic-separator/","nct-type-concentrated-magnetic-separator","yes","none","none","pass"
