"oldUrl","newUrl","permanent","reason"
"/en-za/products/industry-application-equipment/","/en-za/products/","301","Retired category landing page"
"/en-za/products/magnetic-separation-equipment/high-frequency-screen/","/en-za/products/industry-application-equipment/high-frequency-screen/","301","Product classification route synchronized from the main-site catalogue"
"/en-za/products/suspended-and-self-unloading-iron-removers/kgla-series-rectifier-control-box/","/en-za/products/industry-application-equipment/kgla-series-rectifier-control-box/","301","Product classification route synchronized from the main-site catalogue"
"/en-za/products/suspended-and-self-unloading-iron-removers/kxb-mining-explosion-proof-electromagnetic-iron-remover-control-box/","/en-za/products/industry-application-equipment/kxb-mining-explosion-proof-electromagnetic-iron-remover-control-box/","301","Product classification route synchronized from the main-site catalogue"
"/en-za/products/suspended-and-self-unloading-iron-removers/qjz-mining-explosion-proof-permanent-magnet-iron-remover-control-box/","/en-za/products/industry-application-equipment/qjz-mining-explosion-proof-permanent-magnet-iron-remover-control-box/","301","Product classification route synchronized from the main-site catalogue"
"/en-za/products/suspended-and-self-unloading-iron-removers/rbcdb-explosion-proof-disc-type-electromagnetic-iron-remover/","/en-za/products/industry-application-equipment/rbcdb-explosion-proof-disc-type-electromagnetic-iron-remover/","301","Product classification route synchronized from the main-site catalogue"
"/en-za/products/suspended-and-self-unloading-iron-removers/rbcdd-explosion-proof-electromagnetic-self-dumping-iron-remover/","/en-za/products/industry-application-equipment/rbcdd-explosion-proof-electromagnetic-self-dumping-iron-remover/","301","Product classification route synchronized from the main-site catalogue"
"/en-za/products/suspended-and-self-unloading-iron-removers/rbcyd-explosion-proof-permanent-magnet-self-dumping-iron-remover/","/en-za/products/industry-application-equipment/rbcyd-explosion-proof-permanent-magnet-self-dumping-iron-remover/","301","Product classification route synchronized from the main-site catalogue"
"/en-za/products/magnetic-separation-equipment/round-electromagnetic-lifting-magnet/","/en-za/products/industry-application-equipment/round-electromagnetic-lifting-magnet/","301","Product classification route synchronized from the main-site catalogue"
"/en-za/products/magnetic-separation-equipment/ctq-type-roller-automatic-magnetic-separator/","/en-za/products/magnetic-components-and-filters/ctq-type-roller-automatic-magnetic-separator/","301","Product classification route synchronized from the main-site catalogue"
"/en-za/products/magnetic-separation-equipment/dhd-type-roller-type-automatic-magnetic-separator/","/en-za/products/magnetic-components-and-filters/dhd-type-roller-type-automatic-magnetic-separator/","301","Product classification route synchronized from the main-site catalogue"
"/en-za/products/magnetic-separation-equipment/dhj-type-strong-roller-automatic-magnetic-separator/","/en-za/products/magnetic-components-and-filters/dhj-type-strong-roller-automatic-magnetic-separator/","301","Product classification route synchronized from the main-site catalogue"
"/en-za/products/magnetic-separation-equipment/qcg-wet-roller-magnetic-separator/","/en-za/products/magnetic-components-and-filters/qcg-wet-roller-magnetic-separator/","301","Product classification route synchronized from the main-site catalogue"
"/en-za/products/suspended-and-self-unloading-iron-removers/rcda-type-air-cooled-electromagnetic-iron-remover/","/en-za/products/magnetic-separation-equipment/rcda-type-air-cooled-electromagnetic-iron-remover/","301","Product classification route synchronized from the main-site catalogue"
"/en-za/products/suspended-and-self-unloading-iron-removers/rcdc-type-air-cooled-self-dumping-electromagnetic-iron-remover/","/en-za/products/magnetic-separation-equipment/rcdc-type-air-cooled-self-dumping-electromagnetic-iron-remover/","301","Product classification route synchronized from the main-site catalogue"
"/en-za/products/suspended-and-self-unloading-iron-removers/rcde-type-oil-cooled-electromagnetic-iron-remover/","/en-za/products/magnetic-separation-equipment/rcde-type-oil-cooled-electromagnetic-iron-remover/","301","Product classification route synchronized from the main-site catalogue"
"/en-za/products/suspended-and-self-unloading-iron-removers/rcdf-oil-cooled-self-dumping-electromagnetic-iron-remover/","/en-za/products/magnetic-separation-equipment/rcdf-oil-cooled-self-dumping-electromagnetic-iron-remover/","301","Product classification route synchronized from the main-site catalogue"
"/en-za/products/suspended-and-self-unloading-iron-removers/rcdfj-type-forced-oil-circulation-self-dumping-electromagnetic-iron-remover/","/en-za/products/magnetic-separation-equipment/rcdfj-type-forced-oil-circulation-self-dumping-electromagnetic-iron-remover/","301","Product classification route synchronized from the main-site catalogue"
"/en-za/products/suspended-and-self-unloading-iron-removers/rcps-self-dumping-disc-type-permanent-magnet-iron-remover/","/en-za/products/magnetic-separation-equipment/rcps-self-dumping-disc-type-permanent-magnet-iron-remover/","301","Product classification route synchronized from the main-site catalogue"
"/en-za/products/suspended-and-self-unloading-iron-removers/rcya-type-inclined-pipeline-permanent-magnet-iron-remover/","/en-za/products/magnetic-separation-equipment/rcya-type-inclined-pipeline-permanent-magnet-iron-remover/","301","Product classification route synchronized from the main-site catalogue"
"/en-za/products/suspended-and-self-unloading-iron-removers/rcydii-type-permanent-magnet-self-dumping-iron-remover/","/en-za/products/magnetic-separation-equipment/rcydii-type-permanent-magnet-self-dumping-iron-remover/","301","Product classification route synchronized from the main-site catalogue"
"/en-za/products/suspended-and-self-unloading-iron-removers/rcye-type-permanent-magnet-self-dumping-iron-remover/","/en-za/products/magnetic-separation-equipment/rcye-type-permanent-magnet-self-dumping-iron-remover/","301","Product classification route synchronized from the main-site catalogue"
"/en-za/products/suspended-and-self-unloading-iron-removers/rcyf-type-vertical-pipeline-permanent-magnet-iron-remover/","/en-za/products/magnetic-separation-equipment/rcyf-type-vertical-pipeline-permanent-magnet-iron-remover/","301","Product classification route synchronized from the main-site catalogue"
"/en-za/products/suspended-and-self-unloading-iron-removers/rcyg-type-pipeline-self-dumping-permanent-magnet-iron-remover/","/en-za/products/magnetic-separation-equipment/rcyg-type-pipeline-self-dumping-permanent-magnet-iron-remover/","301","Product classification route synchronized from the main-site catalogue"
"/en-za/products/suspended-and-self-unloading-iron-removers/rcyp-type-permanent-magnet-manual-self-dumping-iron-remover/","/en-za/products/magnetic-separation-equipment/rcyp-type-permanent-magnet-manual-self-dumping-iron-remover/","301","Product classification route synchronized from the main-site catalogue"
"/en-za/products/suspended-and-self-unloading-iron-removers/rcyz-type-vertical-pipeline-permanent-magnet-iron-remover/","/en-za/products/magnetic-separation-equipment/rcyz-type-vertical-pipeline-permanent-magnet-iron-remover/","301","Product classification route synchronized from the main-site catalogue"
"/en-za/products/suspended-and-self-unloading-iron-removers/suspended-electromagnetic-conveyor-belt-separator/","/en-za/products/magnetic-separation-equipment/suspended-electromagnetic-conveyor-belt-separator/","301","Product classification route synchronized from the main-site catalogue"
"/en-za/products/suspended-and-self-unloading-iron-removers/suspended-permanent-magnetic-separator/","/en-za/products/magnetic-separation-equipment/suspended-permanent-magnetic-separator/","301","Product classification route synchronized from the main-site catalogue"
"/en-za/products/magnetic-separation-equipment/drum-magnet/","/en-za/products/metal-detection-and-recycling-sorting/drum-magnet/","301","Product classification route synchronized from the main-site catalogue"
"/en-za/products/suspended-and-self-unloading-iron-removers/electromagnet-separator/","/en-za/products/metal-detection-and-recycling-sorting/electromagnet-separator/","301","Product classification route synchronized from the main-site catalogue"
"/en-za/products/magnetic-separation-equipment/magnetic-head-pulley/","/en-za/products/metal-detection-and-recycling-sorting/magnetic-head-pulley/","301","Product classification route synchronized from the main-site catalogue"
"/en-za/products/suspended-and-self-unloading-iron-removers/permanent-overband-magnetic-separator/","/en-za/products/metal-detection-and-recycling-sorting/permanent-overband-magnetic-separator/","301","Product classification route synchronized from the main-site catalogue"
"/en-za/products/permanent-overband-magnetic-separator/","/en-za/products/metal-detection-and-recycling-sorting/permanent-overband-magnetic-separator/","301","Product classification route synchronized from the main-site catalogue"
"/en-za/products/suspended-permanent-magnetic-separator/","/en-za/products/magnetic-separation-equipment/suspended-permanent-magnetic-separator/","301","Product classification route synchronized from the main-site catalogue"
"/en-za/products/suspended-electromagnetic-separator/","/en-za/products/magnetic-separation-equipment/suspended-electromagnetic-conveyor-belt-separator/","301","Product classification route synchronized from the main-site catalogue"
"/en-za/products/wet-drum-magnetic-separator/","/en-za/products/magnetic-separation-equipment/wet-drum-magnetic-separator/","301","Product classification route synchronized from the main-site catalogue"
"/en-za/products/eddy-current-separator/","/en-za/products/metal-detection-and-recycling-sorting/eccentric-eddy-current-separator/","301","Product classification route synchronized from the main-site catalogue"
"/en-za/products/magnetic-head-pulley/","/en-za/products/metal-detection-and-recycling-sorting/magnetic-head-pulley/","301","Product classification route synchronized from the main-site catalogue"
